
Depth: 0

Nr of module: 1

Rownames: 

	Achillea.millefolium
	Aciphylla.glacialis
	Aciphylla.simplicifolia
	Asperula.gunnii
	Baeckia.gunniana
	Brachycome.scapiformis
	Brachycome.scapigera
	Brachycome.sp.
	Brachycome.stolonifera
	Celmisia.longifolia
	Craspedia.sp.
	Epacris.microphylla
	Epacris.paludosa
	Epacris.petrophila
	Epilobium.gunnianum
	Euphrasia.collina diversicolor
	Gentianella.diemensis
	Helichrysum.alpinum
	Helichrysum.scorpioides
	Helipterum.albicans
	Helipterum.anthemoides
	Hypochoeris.radicata
	Kunzea.muelleri
	Leptorhynchos.squamatus
	Leucopogon.montanus
	Microseris.lanceolata
	Neopaxia.australasica
	Olearia.phlogopappa
	Orites.lancifolia
	Oxylobium.ellipticum
	Pemelea.ligustrina
	Pentachondra.pumila
	Phebalium.ovatifolium
	Prasophyllum.alpinum
	Prostanthera.cuneata
	Richea.continentis
	Senecio.gunnii
	Senecio.lautus
	Senecio.pectinatus
	Stylidium.graminifolium
	Wahlenbergia.ceracea

Colnames: 

	Exoneura.sp
	Apis.mellifera
	Euryglossa.sp.
	Hylaeus.semipersonatus
	Hylaeus.sp.
	Hyphesma.sp.
	Leioproctus.sp.1
	Leioproctus.sp.2
	Leioproctus.sp.3
	Lasioglossum.sp.
	Lasioglossum.sp.1
	Lasioglossum.sp.2
	Lasioglossum.sp.3
	Lasioglossum.sp.4
	Lasioglossum.sp.5
	Lasioglossum.sp.6
	Lasioglossum.Parasphecodes.sp.1
	Lasioglossum.Parasphecodes.sp.2
	Lasioglossum.Parasphecodes.sp.3
	Megachile.sp.
	Euryinae.sp.1
	Euryinae.sp.2
	Euryinae.sp.3
	Anthoboscinae
	Dilophus.sp.
	Sciaridae
	Pelecorhychus.rubidus
	Tabanus.froggatti
	Stratiomyidae
	Therevidae
	Comptosia.sylvana
	Villa.sp.
	Empis.ap.B
	Empis.sp.C
	Empis.sp.D
	Empis.sp.E
	Empis.sp.F
	Dolichopodidae
	Diostracus.sp.1
	Eristalis.tenax
	Melangyna.sp.
	Syrphus.sp.
	Rivellia.sp.F
	Sphenella.marginata
	Tephritis.sp.A
	Tephritis.sp.B
	Phytoliriomyza.sp.
	Incurviseta.sp.D
	Incurviseta.sp.K
	Poecilohetaerus.sp.
	Sapromyza.sp.
	Tapeigaster.nigricornis
	Scaptomyza.australis
	Hydrellia.sp.
	Chloromerus.sp.
	Coenosia.sp.A
	Coenosia.sp.B
	Helina.sp.A
	Helina.sp.B
	Limnophora.sp.
	Musca.vetustissima
	Prohardya.carinata
	Calliphora.fulvicoxa
	Calliphora.hilli
	Calliphora.stygia
	Calliphora.sp.
	Calliphora.sp.A
	Calliphora.sp.B
	Alophera.sp.
	Chaetophthalamus.dorsalis
	Prosena.sp.C
	Rutilia.sp.
	Scaptia.alpina
	Senostoma.sp.A
	Senostoma.sp.B
	Senostoma.sp.D
	Unident.no.1
	Unident.no.2
	Unident.no.3
	Unident.no.4
	Agrostis.infusa
	Hippotion.scofa
	Oreixenica.orichora

__________________________

__________________________

Depth: 1

Nr of module: 1

Rownames: 

	Brachycome.scapiformis
	Gentianella.diemensis

Colnames: 

	Dilophus.sp.
	Empis.sp.C

__________________________

Depth: 1

Nr of module: 2

Rownames: 

	Achillea.millefolium
	Helipterum.anthemoides
	Pemelea.ligustrina
	Prostanthera.cuneata

Colnames: 

	Exoneura.sp
	Apis.mellifera
	Lasioglossum.sp.1
	Lasioglossum.sp.3
	Lasioglossum.Parasphecodes.sp.2
	Villa.sp.
	Eristalis.tenax
	Sapromyza.sp.
	Alophera.sp.
	Chaetophthalamus.dorsalis

__________________________

Depth: 1

Nr of module: 3

Rownames: 

	Baeckia.gunniana
	Brachycome.scapigera
	Brachycome.stolonifera
	Epacris.petrophila
	Epilobium.gunnianum
	Helichrysum.alpinum
	Helipterum.albicans
	Leucopogon.montanus
	Phebalium.ovatifolium

Colnames: 

	Hylaeus.sp.
	Anthoboscinae
	Tabanus.froggatti
	Stratiomyidae
	Empis.sp.D
	Empis.sp.E
	Empis.sp.F
	Melangyna.sp.
	Rivellia.sp.F
	Phytoliriomyza.sp.
	Incurviseta.sp.K
	Tapeigaster.nigricornis
	Coenosia.sp.B
	Helina.sp.A
	Musca.vetustissima
	Calliphora.fulvicoxa
	Calliphora.hilli
	Calliphora.sp.A
	Calliphora.sp.B
	Scaptia.alpina
	Unident.no.1
	Unident.no.2
	Unident.no.3
	Unident.no.4

__________________________

Depth: 1

Nr of module: 4

Rownames: 

	Asperula.gunnii
	Euphrasia.collina diversicolor
	Neopaxia.australasica
	Olearia.phlogopappa

Colnames: 

	Euryinae.sp.2
	Poecilohetaerus.sp.
	Scaptomyza.australis
	Coenosia.sp.A

__________________________

Depth: 1

Nr of module: 5

Rownames: 

	Kunzea.muelleri
	Orites.lancifolia
	Richea.continentis
	Wahlenbergia.ceracea

Colnames: 

	Hyphesma.sp.
	Leioproctus.sp.1
	Leioproctus.sp.3
	Lasioglossum.Parasphecodes.sp.3
	Dolichopodidae
	Syrphus.sp.
	Prohardya.carinata
	Calliphora.stygia
	Calliphora.sp.
	Rutilia.sp.

__________________________

Depth: 1

Nr of module: 6

Rownames: 

	Aciphylla.glacialis
	Aciphylla.simplicifolia
	Hypochoeris.radicata
	Oxylobium.ellipticum

Colnames: 

	Euryglossa.sp.
	Lasioglossum.sp.2
	Lasioglossum.sp.5
	Lasioglossum.sp.6
	Lasioglossum.Parasphecodes.sp.1
	Euryinae.sp.1
	Euryinae.sp.3
	Sciaridae
	Pelecorhychus.rubidus
	Therevidae
	Comptosia.sylvana
	Sphenella.marginata
	Hydrellia.sp.

__________________________

Depth: 1

Nr of module: 7

Rownames: 

	Epacris.microphylla
	Prasophyllum.alpinum

Colnames: 

	Diostracus.sp.1
	Senostoma.sp.D

__________________________

Depth: 1

Nr of module: 8

Rownames: 

	Epacris.paludosa
	Pentachondra.pumila
	Stylidium.graminifolium

Colnames: 

	Lasioglossum.sp.4
	Megachile.sp.
	Helina.sp.B
	Senostoma.sp.B
	Agrostis.infusa
	Hippotion.scofa

__________________________

Depth: 1

Nr of module: 9

Rownames: 

	Brachycome.sp.
	Celmisia.longifolia
	Craspedia.sp.
	Helichrysum.scorpioides
	Leptorhynchos.squamatus
	Microseris.lanceolata
	Senecio.gunnii
	Senecio.lautus
	Senecio.pectinatus

Colnames: 

	Hylaeus.semipersonatus
	Leioproctus.sp.2
	Lasioglossum.sp.
	Empis.ap.B
