"","MBM_B","MBM_Q"
"Safariland",0.788297172912558,0.441029054741953
"barrett1987",0.826921008282836,0.801540495867769
"bezerra2009",0.652648284070621,0.79258598044282
"elberling1999",0.899954099286773,0.882349733108822
"inouye1988",0.830335263978614,0.827868994931603
"junker2013",0.929110225438897,0.772133835163878
"kato1990",0.971346968859407,0.967882594993345
"kevan1970",0.795878533859303,0.69883539922605
"memmott1999",0.793436315030033,0.651336305676081
"mosquin1967",0.794321329639889,0.705001113833816
"motten1982",0.837009144701452,0.704575078904179
"olesen2002aigrettes",0.705621301775148,0.685361901962431
"olesen2002flores",0.711111111111111,0.795442299939645
"ollerton2003",0.832972004901499,0.66352923171105
"schemske1978",0.810399310542947,0.63097728213331
"small1976",0.762889190684573,0.836142771201873
"vazarr",0.774472687939427,0.714250164954284
"vazcer",0.796543209876543,0.668788537638815
"vazllao",0.766439909297052,0.748913989732267
"vazmasc",0.76929012345679,0.778827815541102
"vazmasnc",0.801999231064975,0.651445660310933
"vazquec",0.73064735174287,0.720770178962747
"vazquenc",0.710718002081165,0.468865746536561
