"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1",3,4,3,1,5,2,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2
"2",3,2,3,1,5,4,3,4,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4
"3",2,3,2,4,5,1,2,1,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1
"4",4,2,4,1,5,3,4,3,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3
"5",2,5,2,1,6,2,3,4,3,3,1,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,4,4
"6",2,4,2,3,6,2,5,1,5,5,3,5,2,2,5,5,5,5,5,2,5,5,5,5,5,5,1,5,5,5,5,1,1
"7",3,1,3,2,5,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4
"8",2,3,2,1,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"9",4,5,4,1,6,4,2,3,2,2,1,2,4,4,2,2,2,2,2,4,2,2,2,2,2,2,3,2,2,2,2,3,3
"10",1,3,1,2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11",3,2,3,1,5,4,3,4,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4
"12",4,1,4,3,6,4,2,5,2,2,3,2,4,4,2,2,2,2,2,4,2,2,2,2,2,2,5,2,2,2,2,5,5
"13",3,4,3,2,5,1,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1
"14",5,2,5,3,6,5,1,4,1,1,3,1,5,5,1,1,1,1,1,5,1,1,1,1,1,1,4,1,1,1,1,4,4
"15",2,1,2,4,5,3,2,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3
"16",3,4,3,1,5,2,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2
"17",4,2,4,3,6,4,5,1,5,5,3,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,1,5,5,5,5,1,1
"18",3,5,3,2,6,3,3,4,3,1,2,1,3,3,1,1,1,3,1,3,3,3,3,3,3,1,4,1,3,3,1,4,4
"19",2,3,2,1,5,4,2,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,4
"20",1,2,1,4,5,3,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3
"21",2,1,2,3,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"22",1,3,1,4,6,1,5,2,5,5,4,5,1,1,5,5,5,5,5,1,5,5,5,5,5,5,2,5,5,5,5,2,2
"23",2,4,2,1,5,3,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3
"24",3,2,3,1,4,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"25",2,1,2,3,5,4,2,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,4
"26",2,1,2,4,5,3,2,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3
"27",1,2,1,3,4,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28",2,1,2,3,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"29",2,1,2,3,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"30",2,1,2,3,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"31",3,2,2,1,4,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"32",1,3,1,5,6,1,2,4,2,2,5,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,2,4,4
