"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,4,3,9,9,5,10,5,1,7,1,5
"2",10,4,3,9,9,7,10,5,1,7,1,2
"3",3,4,3,9,9,5,10,5,1,7,1,5
"4",10,4,3,9,9,5,10,5,1,7,1,5
"5",3,4,3,9,9,5,10,5,1,7,1,5
"6",3,4,3,9,9,5,10,5,1,7,1,5
"7",3,4,3,9,9,5,10,5,1,7,1,5
"8",10,4,3,9,9,5,10,5,1,7,1,5
"9",3,4,3,9,9,5,10,5,1,7,1,5
"10",10,4,3,9,9,5,10,5,1,7,1,5
"11",3,4,3,9,9,5,10,5,1,7,1,5
"12",10,4,3,9,9,5,10,5,1,7,1,5
"13",3,4,3,9,9,5,10,5,1,7,1,5
"14",3,4,3,9,9,5,10,5,1,7,1,5
"15",10,4,3,9,9,5,10,5,1,7,1,5
"16",10,4,3,9,9,5,10,5,1,7,1,5
"17",10,4,3,9,9,5,10,5,1,7,1,5
"18",10,4,3,9,9,5,10,5,1,7,1,5
"19",10,4,3,9,9,5,10,5,1,7,1,5
"20",10,4,3,9,9,7,10,5,1,7,1,2
"21",3,4,3,9,9,5,10,5,1,7,1,5
"22",3,4,3,9,9,5,10,5,1,7,1,5
"23",10,4,3,9,9,5,10,5,1,7,1,5
"24",3,4,3,9,9,5,10,5,1,7,1,5
"25",10,4,3,9,9,5,10,5,1,7,1,5
"26",3,4,3,9,9,5,10,5,1,7,1,5
"27",3,4,3,9,9,5,10,5,1,7,1,5
"28",10,4,3,9,9,5,10,5,1,7,1,5
"29",10,4,3,9,9,7,10,5,1,7,1,2
"30",10,4,3,9,9,5,10,5,1,7,1,5
"31",3,4,3,9,9,5,10,5,1,7,1,5
"32",3,4,3,9,9,5,10,5,1,7,1,5
"33",3,4,3,9,9,5,10,5,1,7,1,5
"34",10,4,3,9,9,5,10,5,1,7,1,5
"35",3,4,3,9,9,5,10,5,1,7,1,5
"36",3,4,3,9,9,5,10,5,1,7,1,5
"37",3,4,3,9,9,5,10,5,1,7,1,5
"38",3,4,3,9,9,5,10,5,1,7,1,5
"39",3,4,3,9,9,5,10,5,1,7,1,5
"40",10,4,3,9,9,5,10,5,1,7,1,5
"41",3,4,3,9,9,5,10,5,1,7,1,5
"42",3,4,3,9,9,5,10,5,1,7,1,5
"43",10,4,3,9,9,5,10,5,1,7,1,5
"44",10,4,3,9,9,5,10,5,1,7,1,5
"45",10,4,3,9,9,5,10,5,1,7,1,5
"46",3,4,3,9,9,5,10,5,1,7,1,5
"47",10,4,3,9,9,5,10,5,1,7,1,5
"48",3,4,3,9,9,5,10,5,1,7,1,5
"49",3,4,3,9,9,5,10,5,1,7,1,5
"50",10,4,3,9,9,5,10,5,1,7,1,5
"51",3,4,3,9,9,5,10,5,1,7,1,5
"52",10,4,3,9,9,5,10,5,1,7,1,5
"53",10,4,3,9,9,5,10,5,1,7,1,5
"54",10,4,3,9,9,5,10,5,1,7,1,5
"55",10,4,3,9,9,5,10,5,1,7,1,5
"56",3,4,3,9,9,5,10,5,1,7,1,5
"57",3,4,3,9,9,5,10,5,1,7,1,5
"58",3,4,3,9,9,5,10,5,1,7,1,5
"59",10,4,3,9,9,5,10,5,1,7,1,5
"60",10,4,3,9,9,5,10,5,1,7,1,5
"61",3,4,3,9,9,5,10,5,1,7,1,5
"62",3,4,3,9,9,5,10,5,1,7,1,5
"63",10,4,3,9,9,5,10,5,1,7,1,5
"64",3,4,3,9,9,5,10,5,1,7,1,5
"65",3,4,3,9,9,5,10,5,1,7,1,5
"66",10,4,3,9,9,5,10,5,1,7,1,5
"67",3,4,3,9,9,5,10,5,1,7,1,5
"68",10,4,3,9,9,5,10,5,1,7,1,5
"69",10,4,3,9,9,5,10,5,1,7,1,5
"70",3,4,3,9,9,5,10,5,1,7,1,5
"71",10,4,3,9,9,5,10,5,1,7,1,5
"72",3,4,3,9,9,5,10,5,1,7,1,5
"73",3,4,3,9,9,5,10,5,1,7,1,5
"74",10,4,3,9,9,5,10,5,1,7,1,5
"75",10,4,3,9,9,5,10,5,1,7,1,5
"76",10,4,3,9,9,5,10,5,1,7,1,5
"77",3,4,3,9,9,5,10,5,1,7,1,5
"78",3,4,3,9,9,5,10,5,1,7,1,5
"79",3,4,3,9,9,5,10,5,1,7,1,5
"80",3,4,3,9,9,5,10,5,1,7,1,5
"81",10,4,3,9,9,5,10,5,1,7,1,5
"82",3,4,3,9,9,5,10,5,1,7,1,5
"83",3,4,3,9,9,7,10,5,1,7,1,2
"84",3,4,3,9,9,5,10,5,1,7,1,5
"85",3,4,3,9,9,5,10,5,1,7,1,5
"86",10,4,3,9,9,5,10,5,1,7,1,5
"87",10,4,3,9,9,5,10,5,1,7,1,5
"88",3,4,3,9,9,5,10,5,1,7,1,5
"89",3,4,3,9,9,5,10,5,1,7,1,5
"90",10,4,3,9,9,5,10,5,1,7,1,5
"91",10,4,3,9,9,5,10,5,1,7,1,5
"92",10,4,3,9,9,5,10,5,1,7,1,5
"93",3,4,3,9,9,5,10,5,1,7,1,5
"94",3,4,3,9,9,5,10,5,1,7,1,5
"95",10,4,3,9,9,5,10,5,1,7,1,5
"96",3,4,3,9,9,7,10,5,1,7,1,2
"97",10,4,3,9,9,5,10,5,1,7,1,5
"98",3,4,3,9,9,5,10,5,1,7,1,5
"99",10,4,3,9,9,5,10,5,1,7,1,5
"100",10,4,3,9,9,5,10,5,1,7,1,5
