"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"1",1,3,4,1,4,4,2,4,2,4,2,4,4,3,2,2,1,2,2,4,3,3,3,3,1,1,4,3,4,1,4,2,2,1,2,1,4,3,4,3,4,1,4,1
"2",3,2,4,3,5,4,5,4,5,4,1,4,4,2,5,5,3,5,5,4,2,2,2,2,3,3,4,2,4,3,4,1,1,3,1,3,4,1,5,5,4,3,4,3
"3",1,5,2,1,1,2,1,4,1,4,3,4,4,3,1,1,2,1,1,4,5,5,5,3,2,2,4,5,4,1,4,3,3,2,3,2,4,3,1,5,4,1,2,2
"4",2,3,5,2,1,5,1,5,1,5,4,5,5,3,1,1,2,1,1,5,3,3,3,3,2,2,5,3,5,2,5,4,4,2,4,2,5,4,1,1,5,2,5,2
"5",1,6,2,1,4,2,1,5,4,5,3,5,4,6,4,4,2,1,4,4,6,6,6,6,2,2,5,6,5,1,5,3,3,2,3,4,5,3,4,6,4,1,2,1
"6",5,3,4,5,5,4,5,2,5,2,1,2,2,3,5,5,4,5,5,2,3,3,3,3,4,4,2,3,2,5,2,1,1,4,1,4,2,1,5,3,2,5,4,4
"7",5,1,2,5,3,2,3,2,3,2,4,2,2,1,3,3,5,3,3,2,1,1,1,1,5,5,2,1,2,5,2,4,4,5,4,5,2,4,3,3,2,5,2,5
"8",4,1,5,4,2,5,4,5,3,5,3,5,2,1,3,3,5,4,3,2,1,1,1,1,5,5,2,1,2,4,2,3,3,5,3,5,2,2,2,1,2,4,5,4
"9",1,5,2,1,1,2,1,3,4,3,4,3,4,5,4,4,2,1,4,3,5,5,5,5,2,2,3,5,3,1,3,4,4,2,4,2,3,5,1,5,3,1,2,1
"10",3,1,3,3,3,3,3,5,4,5,4,5,4,1,4,4,2,3,4,5,1,1,1,1,2,2,5,1,5,3,5,4,4,3,4,2,5,1,3,1,5,3,3,3
"11",5,4,5,5,2,5,5,1,2,1,3,1,2,4,2,2,5,5,2,2,4,4,4,4,5,5,1,4,1,5,1,3,3,5,3,2,1,3,2,4,2,5,5,5
"12",3,1,5,3,3,5,3,4,3,4,2,4,3,1,3,3,5,3,3,3,1,1,1,1,5,5,4,1,4,3,4,2,2,5,2,3,4,2,3,1,3,3,5,5
"13",5,2,4,5,5,4,5,1,5,1,3,1,1,2,5,5,4,5,5,1,2,2,2,2,4,4,1,2,1,5,1,3,3,4,3,4,1,3,5,2,1,5,4,4
"14",2,4,1,2,2,1,2,1,2,1,3,1,1,4,2,2,2,2,2,1,4,4,4,4,2,1,1,4,1,2,1,3,3,1,3,1,1,3,2,4,1,2,1,2
"15",3,4,3,3,3,3,3,2,1,2,5,2,2,4,1,1,1,3,1,2,4,4,4,4,1,1,2,4,2,3,2,5,5,3,5,1,2,5,3,4,2,3,3,3
"16",6,1,5,6,2,5,6,3,2,3,4,3,2,1,2,2,5,6,2,2,1,1,1,1,5,5,3,1,3,6,3,4,4,5,4,2,3,4,2,1,2,6,5,6
"17",4,2,3,4,4,3,4,5,4,5,1,5,5,2,4,4,3,4,4,5,2,2,2,2,3,3,5,2,5,4,5,1,1,3,1,3,5,1,4,2,5,4,3,3
