"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"2",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"3",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"4",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"5",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"6",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"7",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"8",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"9",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"10",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"11",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"12",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"13",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"14",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"15",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"16",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"17",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"18",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"19",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"20",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"21",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"22",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"23",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"24",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"25",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"26",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"27",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"28",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"29",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"30",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"31",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"32",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"33",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"34",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"35",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"36",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"37",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"38",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"39",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"40",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"41",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"42",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"43",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"44",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"45",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"46",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"47",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"48",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"49",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"50",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"51",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"52",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"53",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"54",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"55",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"56",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"57",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"58",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"59",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"60",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"61",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"62",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"63",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"64",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"65",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"66",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"67",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"68",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"69",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"70",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"71",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"72",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"73",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"74",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"75",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"76",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"77",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"78",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"79",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"80",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"81",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"82",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"83",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"84",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"85",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"86",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"87",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"88",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"89",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"90",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"91",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"92",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"93",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"94",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"95",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"96",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"97",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"98",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"99",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"100",12,1,5,9,2,9,5,1,9,9,9,9,2,5
