"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83"
"1",2,5,2,6,3,3,6,6,3,6,2,2,3,4,6,2,4,2,7,4,5,5,5,7,6,6,7,7,7,5,5,7,4,1,7,7,3,3,4,5,4,3,6,3,7,4,5,5,7,5,4,3,5,5,5,5,3,7,7,4,5,3,3,3,3,3,7,3,2,4,4,3,7,4,7,3,7,3,4,3,3,3,4
"2",4,5,4,3,1,2,4,3,7,9,4,1,2,9,4,4,4,1,4,5,4,5,6,8,1,1,4,1,1,6,6,8,9,1,8,1,7,2,5,9,7,2,1,6,8,5,5,5,1,5,9,1,6,6,5,6,1,2,8,9,1,2,7,7,2,2,7,7,9,4,4,2,8,9,8,7,8,2,7,7,6,6,5
"3",10,7,10,11,6,13,11,11,14,11,10,11,13,3,11,10,10,11,6,3,5,5,5,9,11,6,6,6,6,5,13,1,7,11,9,9,14,13,3,7,9,13,6,8,9,4,5,4,6,5,3,6,5,5,7,5,6,13,1,7,5,13,14,14,13,13,6,14,7,10,10,13,9,7,1,3,1,13,9,3,6,6,3
"4",6,3,7,9,2,7,9,9,7,9,3,8,7,2,6,6,6,3,9,2,6,5,5,2,2,6,6,2,6,8,7,7,3,2,4,2,8,7,3,3,7,7,2,8,3,4,8,4,6,8,3,2,8,8,8,8,2,7,2,3,6,7,8,8,7,7,4,7,3,7,3,7,2,9,2,1,2,7,4,1,1,1,4
"5",9,6,9,3,4,3,9,3,5,1,9,1,3,1,9,9,9,1,9,2,9,2,8,8,1,9,9,4,9,8,3,4,1,1,8,9,5,3,7,6,8,3,4,4,8,2,2,2,9,2,7,4,8,8,2,2,4,3,4,1,8,3,5,5,3,3,7,5,1,9,9,3,8,1,4,6,4,4,8,6,9,9,2
"6",5,6,5,1,7,5,8,1,2,1,4,1,5,1,8,8,8,4,8,1,8,2,2,7,1,8,8,7,8,2,2,7,3,1,7,7,2,5,6,3,5,5,7,5,3,6,4,6,8,1,3,7,2,2,1,1,7,5,7,3,8,5,2,2,5,5,6,5,4,5,4,5,7,3,7,2,7,7,3,2,6,6,6
"7",7,5,5,6,4,5,7,6,6,3,5,3,5,3,7,7,7,3,7,1,7,1,1,2,3,7,7,4,7,1,5,4,2,3,2,7,6,5,1,5,2,5,3,4,2,6,5,6,7,1,1,4,1,1,1,1,4,5,4,2,7,5,6,6,5,5,6,6,5,7,2,5,2,2,2,4,4,4,2,4,5,5,6
"8",5,2,2,1,8,8,1,1,8,9,2,9,8,9,1,1,1,9,1,9,1,11,11,4,9,1,1,5,1,4,4,5,2,9,4,9,8,8,2,2,4,8,9,6,4,3,3,3,1,3,2,8,3,4,3,3,8,8,5,2,4,8,8,8,8,8,4,8,2,2,2,8,4,5,5,10,5,8,4,10,3,3,3
"9",5,6,1,7,2,7,5,7,7,2,1,2,7,6,5,5,5,1,5,6,5,2,4,3,2,5,5,1,5,4,4,1,3,2,6,3,3,7,1,6,3,7,2,5,3,6,5,6,5,4,3,2,4,4,4,4,2,7,1,3,5,7,3,3,7,7,6,3,1,3,1,7,3,3,3,1,3,7,6,1,7,7,6
"10",3,7,3,9,1,6,3,9,6,4,2,4,6,8,3,3,3,4,3,8,3,7,10,9,4,3,3,1,3,10,10,1,2,4,9,3,1,6,2,7,9,6,4,10,10,7,8,7,3,8,2,1,11,10,8,11,1,6,1,2,10,6,1,1,6,6,9,6,2,3,2,6,9,2,9,1,1,6,9,1,6,6,7
"11",3,3,3,4,2,3,4,4,5,4,3,2,3,5,4,4,3,2,4,5,4,1,1,2,2,4,4,2,4,1,1,2,3,2,5,4,5,3,5,3,5,3,2,1,1,5,4,5,4,1,3,2,1,1,1,1,2,4,2,3,4,3,5,5,3,3,2,3,3,3,3,3,2,3,2,5,2,2,5,2,2,2,5
